wmo;origin;name;latin;elevation;lat;lng;eol
048690;33394;Mývatnsheiði;Mývatnsheidi;350.0;65.6143;17.2169;
048730;34413;Mývatnsöræfi;Mývatnsoraefi;390.0;65.6576;16.5006;
048810;34238;Möðrudalsöræfi II;Modrudalsoraefi II;550.0;65.457;15.5855;
041810;4830;Möðrudalur;Modrudalur;450.0;65.3754;15.8833;
041670;3463;Möðruvellir;Modruvellir;15.0;65.7707;18.2513;
049480;6424;Mörk á Landi;Mork a Landi;125.0;64.0293;20.0189;
041350;3242;Nautabú;Nautabu;115.0;65.4583;19.3691;
041990;5990;Neskaupstaður;Neskaupstadur;49.70000076293945;65.1503;13.6694;
048990;5992;Neskaupstaður - Drangagil;Neskaupstadur - Drangagil;559.0;65.1618;13.688;
048970;34087;Oddsskarð;Oddsskard;520.0;65.0637;13.9187;
049510;33661;Ólafsfjarðarvegur við Sauðanes;Olafsfjardarvegur vid Saudanes;-99.0;66.0424;18.5208;
041550;3658;Ólafsfjörður;Olafsfjordur;5.0;66.0739;18.6656;
049550;7659;Ólafsfjörður - Tindaöxl;Olafsfjordur - Tindaoxl;450.0;66.063;18.6309;
041060;1924;Ólafsvík;Olafsvik;15.0;64.8948;23.7143;
041940;5777;Papey;Papey;49.0;64.5911;14.1747;
041050;2319;Patreksfjörður;Patreksfjordur;43.0;65.5951;23.9748;
049770;3596;Rauðhálsar;Raudhalsar;-99.0;65.856;17.2015;
041750;4912;Rauðinúpur;Raudinupur;59.29999923706055;66.5082;16.5444;
048770;4828;Raufarhöfn;Raufarhofn;4.0;66.456;15.9527;
041290;2266;Reykhólar;Reykholar;6.699999809265137;65.4377;22.2056;
048670;3380;Reykir í Fnjóskadal;Reykir i Fnjoskadal;220.0;65.5851;17.7667;
041390;2197;Reykir í Hrútafirði;Reykir i Hrutafirdi;15.0;65.2543;21.0978;
048220;31363;Reykjanesbraut;Reykjanesbraut;25.0;64.0027;22.2296;
040300;1;Reykjavík;Reykjavik;52.0;64.1275;21.9028;
041300;1475;Reykjavík;Reykjavik;52.0;64.1275;21.902;
048380;1477;Reykjavíkurflugvöllur;Reykjavikurflugvollur;12.0;64.1284;21.9407;
049560;36049;Reynisfjall;Reynisfjall;125.0;63.4521;19.0378;
041680;6975;Sandbúðir;Sandbudir;820.0;64.933;17.983;
048540;31488;Sandskeið;Sandskeid;-99.0;64.0621;21.5593;
048830;34559;Sandvíkurheiði;Sandvikurheidi;275.0;65.8914;14.8253;
040590;400;Sauðanesviti;Saudanesviti;30.0;66.1852;18.9534;
049530;3433;Sauðárkrókur flugvöllur;Saudarkrokur flugvollur;0.5;65.7259;19.5737;
041520;6222;Sámsstaðir;Samsstadir;90.0;63.7354;20.1091;
048610;3054;Sáta;Sata;785.0;65.0628;18.8383;
041980;5993;Seley;Seley;18.0;64.983;13.517;
041070;2640;Seljalandsdalur;Seljalandsdalur;550.0;66.076;23.1987;
048190;2641;Seljalandsdalur - skíðaskáli;Seljalandsdalur - skidaskali;283.0;66.0687;23.2103;
049860;31380;Selvogur;Selvogur;20.0;63.8456;21.6959;
041580;6748;Setur;Setur;693.0;64.6043;19.0186;
041950;4182;Seyðisfjörður;Seydisfjordur;37.0;65.2549;14.0064;
048570;33750;Siglufjarðarvegur;Siglufjardarvegur;20.0;66.129;19.0721;
049590;33751;Siglufjarðarvegur Herkonugil;Siglufjardarvegur Herkonugil;-99.0;66.1784;18.9752;
041570;3752;Siglufjörður;Siglufjordur;6.0;66.1349;18.919;
049570;7753;Siglufjörður - Hafnarfjall;Siglufjordur - Hafnarfjall;550.0;66.1535;18.9352;
041590;3754;Siglunes;Siglunes;8.0;66.1938;18.8431;
041720;6499;Skaftafell;Skaftafell;94.0;64.0157;16.9667;
041510;3720;Skagatá;Skagata;9.0;66.1192;20.0989;
041700;6176;Skarðsfjöruviti;Skardsfjoruviti;6.0;63.5179;17.9785;
049040;1679;Skarðsheiði Miðfitjahóll;Skardsheidi Midfitjaholl;480.0;64.4902;21.7621;
049220;1496;Skarðsmýrarfjall;Skardsmýrarfjall;597.0;64.0567;21.3469;
041360;1590;Skálafell;Skalafell;771.0;64.2405;21.4633;
048660;36411;Skálholt;Skalholt;60.0;64.1323;20.5308;
040850;527;Skjaldþingsstaðir;Skjaldþingsstadir;42.20000076293945;65.7027;14.8211;
049850;4455;Skjaldþingsstaðir;Skjaldþingsstadir;44.0;65.7036;14.8208;
048180;1578;Skrauthólar;Skrautholar;20.0;64.2318;21.8046;
049130;2841;Sléttunes Jökulfjörðum;Slettunes Jokulfjordum;-99.0;66.2962;22.964;
048350;3591;Staðarhóll;Stadarholl;40.0;65.821;17.3446;
049230;33643;Stafá;Stafa;40.0;66.0711;19.2785;
040340;108;Stafholtsey;Stafholtsey;14.0;64.6419;21.5907;
048680;36132;Steinar;Steinar;20.0;63.5429;19.6906;
048290;32474;Steingrímsfjarðarheiði;Steingrimsfjardarheidi;440.0;65.7503;22.1291;
049360;31950;Stórholt;Storholt;70.0;64.986;22.8084;
041480;6017;Stórhöfði;Storhofdi;118.0;63.3996;20.2882;
041240;1473;Straumsvík;Straumsvik;7.0;64.0438;22.0404;
049940;35880;Streiti;Streiti;10.0;64.7199;14.0363;
040130;178;Stykkishólmur;Stykkisholmur;13.180000305175781;65.074;22.7339;
041150;2050;Stykkishólmur;Stykkisholmur;12.399999618530273;65.0717;22.7324;
041260;6012;Surtsey;Surtsey;36.0;63.2993;20.5995;
041110;2646;Súðavík;Sudavik;10.899999618530273;66.0426;22.986;
041530;3292;Svartárkot;Svartarkot;405.0;65.3419;17.2432;
048170;32179;Svínadalur í Dölum;Svinadalur i Dolum;230.0;65.3058;21.7396;
049050;2323;Tálknafjörður;Talknafjordur;8.5;65.6276;23.8302;
